City,Cloudiness,Country,Date,Humidity,Lat,Lng,MaxTemp,WindSpeed
Port Hedland,0,AU,1552255200,74,-20.31,118.58,87.8,14.99
Birin,0,SY,1552257203,94,35.01,36.67,46.72,10.78
Mirador,44,BR,1552257205,81,-6.37,-44.36,77.86,5.75
Onguday,24,RU,1552257206,75,50.75,86.14,4.33,1.83
Fereydunshahr,20,IR,1552257207,66,32.94,50.12,1.68,3.29
Saint-Pierre,0,FR,1552257125,87,48.95,4.24,44.6,13.87
Broome,0,GB,1552257206,91,52.47,1.45,37.99,17.22
Luganville,88,VU,1552257211,100,-15.51,167.18,77.28,4.29
Gimbi,12,ET,1552257212,73,8.81,37.79,45.28,1.72
La Ronge,20,CA,1552255200,49,55.1,-105.3,23.0,8.05
Kloulklubed,8,PW,1552257060,97,7.04,134.26,81.64,15.37
Vallentuna,0,SE,1552257139,79,59.53,18.08,26.01,9.17
Laguna,90,MX,1552254120,28,27.52,-110.01,75.2,3.18
Marion,1,US,1552256913,36,38.35,-97.02,50.0,8.05
Katherine,24,AU,1552255200,78,-14.47,132.26,80.6,4.29
Bilibino,24,RU,1552257221,74,68.06,166.44,-4.36,2.17
Vung Tau,0,VN,1552257005,100,10.35,107.08,78.72,5.19
Zyryanka,48,RU,1552257224,71,65.73,150.89,-2.38,2.84
Shache,20,CN,1552257225,66,38.42,77.24,32.41,9.89
Singkang,75,MY,1552255200,94,2.1,102.8,77.0,2.24
Linfen,0,CN,1552257229,63,36.09,111.52,32.1,4.63
Kutum,0,SD,1552257231,35,14.2,24.66,55.18,8.99
Staroaleyskoye,64,RU,1552257232,50,51.01,82.0,4.38,3.62
Sorong,36,ID,1552257233,100,-0.86,131.25,82.05,4.97
Colomi,75,BO,1552255200,46,-17.34,-65.87,73.4,13.87
Port-Cartier,90,CA,1552257202,79,50.03,-66.88,24.01,16.11
Villarrica,20,CL,1552257052,72,-39.28,-72.23,72.0,11.41
Deputatskiy,56,RU,1552257238,73,69.3,139.9,-7.91,3.74
Tezu,0,IN,1552257239,74,27.93,96.16,47.26,1.83
Kwinana,0,AU,1552257205,72,-32.25,115.77,68.0,8.05
Bud,40,NO,1552257038,86,62.91,6.91,28.4,9.17
Moussoro,0,TD,1552257243,19,13.64,16.49,72.91,12.57
Porto Novo,75,BR,1552255200,78,-23.68,-45.44,73.4,3.36
Tynda,80,RU,1552257246,80,55.15,124.74,13.47,3.96
Camocim,56,BR,1552257248,90,-2.9,-40.84,78.13,8.66
Luderitz,0,NA,1552257249,78,-26.65,15.16,61.08,16.71
Dalbandin,0,PK,1552257250,77,28.9,64.41,40.24,3.18
Jesup,1,US,1552257126,39,31.61,-81.89,84.2,5.82
Kharan,24,PK,1552257252,71,28.58,65.42,44.88,1.95
Banda Aceh,8,ID,1552257253,100,5.56,95.32,71.88,2.73
San Policarpo,20,PH,1552257255,98,12.18,125.51,77.23,1.16
Mitsamiouli,75,KM,1552255200,79,-11.38,43.28,84.2,16.11
Ardakan,0,IR,1552255200,52,32.31,54.02,46.4,6.93
Road Town,40,VG,1552257211,69,18.42,-64.62,80.6,8.05
Falam,0,MM,1552257259,85,22.91,93.68,47.08,1.61
Noboribetsu,75,JP,1552257022,92,42.42,141.1,35.01,2.24
Sainte-Savine,0,FR,1552257067,70,48.29,4.06,43.0,13.87
Tara,75,JP,1552257254,81,33.0,130.15,52.0,11.41
Panjab,80,AF,1552257264,82,34.38,67.02,15.18,2.73
Mitchell,1,US,1552254780,63,43.71,-98.03,28.4,8.05
Lewistown,1,US,1552257213,65,40.39,-90.15,45.0,16.11
Sweetwater,90,US,1552257251,87,32.47,-100.41,50.0,11.41
Brae,56,GB,1552256400,99,60.4,-1.35,37.4,1.12
Chapais,90,CA,1552255200,85,49.78,-74.86,19.4,19.46
Turukhansk,88,RU,1552257271,86,65.8,87.96,19.68,14.92
Nizhniy Chir,92,RU,1552257272,91,48.36,43.08,43.57,14.47
Kuala Terengganu,75,MY,1552251600,94,5.33,103.14,78.8,2.24
Huarmey,56,PE,1552257275,69,-10.07,-78.15,74.53,4.07
Erpeldange,0,DE,1552257247,64,49.55,6.33,43.0,20.8
Dutse,0,NG,1552257278,42,11.76,9.34,70.12,5.3
Aljezur,0,PT,1552257025,74,37.31,-8.8,61.0,17.05
Najran,0,SA,1552255200,27,17.54,44.22,62.6,4.7
Hami,0,CN,1552257282,69,42.84,93.51,21.52,2.84
Lenine,0,UA,1552257284,87,45.3,35.78,38.22,13.24
Mandera,0,ET,1552257222,21,3.94,41.86,77.0,5.97
Chuncheng,92,CN,1552257286,99,22.17,111.79,57.88,3.62
Palu,56,ID,1552257288,78,-0.9,119.87,71.29,2.17
Rorvik,90,NO,1552257002,100,64.86,11.24,24.8,5.82
Ondangwa,0,NA,1552255200,39,-17.91,15.98,84.2,2.24
Katete,0,UG,1552257291,81,-0.78,29.75,58.51,2.95
Gold Coast,20,AU,1552257193,74,-28.0,153.41,84.99,14.99
Atasu,76,KZ,1552257293,82,48.68,71.64,17.83,4.07
San Borja,64,BO,1552257295,79,-14.86,-66.75,75.34,1.95
Grindavik,0,IS,1552257052,69,63.84,-22.43,33.8,4.7
Portland,1,US,1552257152,39,45.52,-122.67,53.6,10.29
Fountain Hills,1,US,1552257028,19,33.61,-111.72,73.99,3.36
Cairns,40,AU,1552256418,74,-16.92,145.77,82.0,8.05
Oksovskiy,88,RU,1552257300,91,62.61,39.91,32.14,7.65
Garwa,0,IN,1552257301,83,27.63,81.51,50.77,3.4
Ixtapa,5,MX,1552257057,65,20.71,-105.21,82.4,11.41
Paoua,0,CF,1552257304,54,7.24,16.43,67.87,0.94
Khlevnoye,24,RU,1552257173,97,54.57,39.32,33.01,8.01
Sibolga,64,ID,1552257307,100,1.74,98.78,69.13,2.17
Gari,0,RU,1552257308,85,59.43,62.35,23.68,6.2
Manadhoo,8,MV,1552257310,100,5.77,73.38,81.33,5.41
Shostka,0,UA,1552257311,89,51.86,33.47,32.95,10.78
Tarakan,80,ID,1552257199,100,3.3,117.63,75.25,6.64
Gandajika,8,CD,1552257313,88,-6.75,23.95,72.33,2.51
Severo-Kurilsk,44,RU,1552257314,100,50.68,156.12,27.64,19.17
Wenling,0,CN,1552257237,98,28.38,121.38,46.0,3.29
Yeniseysk,56,RU,1552257317,79,58.45,92.17,18.19,6.08
Vytegra,88,RU,1552257318,92,61.01,36.45,32.73,11.45
Kungurtug,0,RU,1552257319,59,50.6,97.53,-6.83,2.51
Bolivar,1,US,1552257303,42,35.26,-88.99,66.2,6.93
Ati,0,TD,1552257322,17,13.21,18.34,74.26,12.46
San Fernando,0,CL,1552255200,34,-34.58,-70.99,80.6,5.82
Salaberry-de-Valleyfield,90,CA,1552257317,86,45.26,-74.13,35.6,17.22
Brewster,90,US,1552257316,100,41.76,-70.08,45.0,19.46
Simacota,68,CO,1552257327,88,6.44,-73.34,66.88,1.72
Sovetskiy,80,RU,1552257328,96,56.76,48.47,31.65,8.99
General Roca,0,AR,1552255200,21,-39.03,-67.58,80.6,8.05
Pasighat,0,IN,1552257331,78,28.06,95.33,50.5,2.39
Mednogorsk,88,RU,1552257334,95,51.41,57.59,35.38,12.35
Hobyo,92,SO,1552257335,91,5.35,48.53,77.37,15.37
Pathein,0,MM,1552257270,90,16.78,94.73,68.14,5.41
Hamilton,40,BM,1552257137,59,32.3,-64.78,64.4,6.93
Hendersonville,1,US,1552256100,34,36.3,-86.62,66.2,8.05
Mastic Beach,90,US,1552257272,93,40.77,-72.85,44.6,9.17
Westport,12,IE,1552257184,77,53.8,-9.52,41.0,11.01
Salto,36,UY,1552256812,47,-31.39,-57.96,77.0,11.99
Leningradskiy,44,RU,1552257345,99,69.38,178.42,-5.84,4.63
Guiyang,75,CN,1552255200,87,26.58,106.71,46.4,2.24
Rome,75,IT,1552257244,76,41.89,12.48,57.99,12.75
Boundiali,48,CI,1552257349,27,9.53,-6.48,82.45,9.1
Harer,1,US,1552257334,63,42.19,-111.17,39.0,2.73
Linjiang,36,CN,1552257351,68,41.81,126.91,31.6,3.96
Sur,0,OM,1552257353,100,22.57,59.53,66.75,5.53
Ambon,0,FR,1552257330,81,47.55,-2.56,50.0,6.93
Jiayuguan,0,CN,1552257355,50,39.77,98.29,2.89,3.06
Dwarka,8,IN,1552257009,67,28.58,77.04,68.0,5.82
Vila,0,IT,1552257354,87,45.18,8.4,55.99,6.93
Caconde,24,BR,1552256377,90,-21.53,-46.64,73.0,1.01
Seoul,1,KR,1552256400,86,37.57,126.98,37.4,1.12
Naantali,8,FI,1552257132,92,60.45,22.03,21.99,4.7
Solnechnyy,12,RU,1552257363,74,50.72,136.64,22.15,4.41
Kajaani,90,FI,1552256400,92,64.22,27.73,19.4,3.36
Redlands,75,US,1552257364,44,34.06,-117.19,61.0,6.93
Gao,0,ML,1552257367,32,16.28,-0.04,66.75,10.33
Weinan,0,CN,1552255200,79,34.5,109.46,21.2,2.24
Pozo Colorado,80,PY,1552257369,79,-23.49,-58.8,76.65,5.19
Puerto Escondido,20,MX,1552254060,70,15.86,-97.07,84.2,10.29
Sain Alto,0,MX,1552257372,20,23.58,-103.25,71.25,10.67
Dali,0,CN,1552257373,100,25.6,100.24,32.77,2.06
